"Coordenada,N,24,15","Coordena_1,N,24,15","Local/Rodo,C,254","Estaca,C,254","Profundida,C,254","OT (%),N,255,2","DEN (g/cm3,N,255,5","ISC/CBR (%,N,255,2","EXP (%),N,255,2","LL (%),N,255,2","IP (%),N,255,2","50.8 ( #2"",N,255,2","25.4 (#1""),N,255,2","9.5 (#3/8"",N,255,2","4.76 (#4),N,255,2","2 (#10),N,255,2","0.42 (#40),N,255,2","0.074 (#20,N,255,2","AASHTO/TRB,C,254",MR modelado,"Embrapa_Ar,N,21,5","Embrapa_Si,N,21,5","Embrapa_bu,N,21,5","Embrapa__1,N,21,5","Simbolos,C,254","COMP1,C,254","COMP2,C,254","COMP3,C,254","LEG_DESC,C,254","Area_km2,N,33,31","ORDEM1,C,254","SUBORDEM1,C,254","GDEGRUPO1,C,254","ORDEM2,C,254","SUBORDEM2,C,254","GDEGRUPO2,C,254","ORDEM3,C,254","SUBORDEM3,C,254","GDEGRUPO3,C,254","LEG_SINOT,C,254","CLASSE_DOM,C,254","terrain_su,N,21,5","TRI_sirgas,N,21,5","TWI,N,21,5","valley_dep,N,21,5","NVDI,N,21,5","MRVBF_reco,N,21,5","MRRTF_reco,N,21,5","Diurnal An,N,21,5","Direct_Ins,N,21,5",,,,,,,,,,,,,,,,
"487516,4690","9365744,6000",BR-266/CE,3345,00 - 80,"6,30","1,72000","4,00","0,00","0,00","0,00","100,00","87,00","58,00","45,00","36,00","23,00","5,00",A - 1 - b,"56,73360","556,00000","201,00000","1,43000","258,00000",SXe16,Planossolos Haplicos Eutroficos,Planossolos Natricos Orticos,Neossolos Litolicos Eutroficos,SXe16 - Planossolos Haplicos Eutroficos + Planossolos Natricos Orticos + Neossolos Litolicos Eutroficos,"1136,5067444100000000000000000000000",PLANOSSOLOS,HAPLICOS,Eutroficos,PLANOSSOLOS,NATRICOS,Orticos,NEOSSOLOS,LITOLICOS,Eutroficos,SXe - Planossolos Haplicos Eutroficos,SXe,"51,29275","13,19091","12,67719","164,46912","0,20176","6,52393","2,98985","0,01796","6,43092",,,,,,,,,,,,,,,,
"485065,0870","9367062,4350",BR-266/CE,3493,00 - 80,"6,30","1,72000","4,00","0,00","0,00","0,00","100,00","88,00","60,00","45,00","37,00","24,00","5,00",A - 1 - a,"71,47640","572,00000","213,00000","1,42000","274,00000",RLe18,Neossolos Litolicos Eutroficos,Planossolos Natricos Orticos,Luvissolos Cromicos Orticos,RLe18 - Neossolos Litolicos Eutroficos + Planossolos Natricos Orticos + Luvissolos Cromicos Orticos,"5006,5597524900000000000000000000000",NEOSSOLOS,LITOLICOS,Eutroficos,PLANOSSOLOS,NATRICOS,Orticos,LUVISSOLOS,CROMICOS,Orticos,RLe - Neossolos Litolicos Eutroficos,RLe,"49,18632","10,09950","15,99718","170,82196","0,22096","6,40021","2,95767","0,01503","6,41178",,,,,,,,,,,,,,,,
"484084,0050","9368109,4370",BR-266/CE,3566,00 - 80,"6,30","1,72000","4,00","0,00","0,00","0,00","100,00","88,00","60,00","46,00","38,00","24,00","6,00",A - 4,"24,87380","589,00000","222,00000","1,44000","252,00000",RLe18,Neossolos Litolicos Eutroficos,Planossolos Natricos Orticos,Luvissolos Cromicos Orticos,RLe18 - Neossolos Litolicos Eutroficos + Planossolos Natricos Orticos + Luvissolos Cromicos Orticos,"5006,5597524900000000000000000000000",NEOSSOLOS,LITOLICOS,Eutroficos,PLANOSSOLOS,NATRICOS,Orticos,LUVISSOLOS,CROMICOS,Orticos,RLe - Neossolos Litolicos Eutroficos,RLe,"45,24571","3,74166","17,99367","180,46210","0,21807","6,50025","0,00847","-0,00293","6,34766",,,,,,,,,,,,,,,,
"483150,7790","9369168,8470",BR-266/CE,3637,00 - 80,"6,30","1,72000","4,00","0,00","0,00","0,00","100,00","88,00","60,00","47,00","38,00","24,00","6,00",A - 2 - 4,"23,87960","573,00000","203,00000","1,44000","300,00000",RLe18,Neossolos Litolicos Eutroficos,Planossolos Natricos Orticos,Luvissolos Cromicos Orticos,RLe18 - Neossolos Litolicos Eutroficos + Planossolos Natricos Orticos + Luvissolos Cromicos Orticos,"5006,5597524900000000000000000000000",NEOSSOLOS,LITOLICOS,Eutroficos,PLANOSSOLOS,NATRICOS,Orticos,LUVISSOLOS,CROMICOS,Orticos,RLe - Neossolos Litolicos Eutroficos,RLe,"42,90585","9,89950","13,03650","172,20697","0,23091","6,43371","0,07301","-0,01538","6,34826",,,,,,,,,,,,,,,,
"480218,6480","9370464,8890",BR-266/CE,3802,00 - 80,"6,30","1,72400","4,00","0,00","0,00","0,00","100,00","89,00","61,00","47,00","39,00","25,00","6,00",A - 2 - 4,"50,65440","671,00000","216,00000","1,43000","270,00000",TCo8,Luvissolos Cromicos Orticos,Neossolos Litolicos Eutroficos,Argissolos Vermelho-Amarelos Eutroficos,TCo8 - Luvissolos Cromicos Orticos + Neossolos Litolicos Eutroficos + Argissolos Vermelho-Amarelos Eutroficos,"394,9018399410000000000000000000000",LUVISSOLOS,CROMICOS,Orticos,NEOSSOLOS,LITOLICOS,Eutroficos,ARGISSOLOS,VERMELHO-AMARELOS,Eutroficos,TCo - Luvissolos Cromicos Orticos,TCo,"50,40578","7,41620","13,55842","151,69647","0,27702","5,76724","2,97022","0,01417","6,40204",,,,,,,,,,,,,,,,
"486524,8820","9365853,9710",BR-266/CE,3397,00 - 70,"6,30","1,72000","4,00","0,00","0,00","0,00","100,00","88,00","59,00","45,00","36,00","23,00","5,00",A - 1 - a,"78,39070","587,00000","204,00000","1,43000","259,00000",RLe18,Neossolos Litolicos Eutroficos,Planossolos Natricos Orticos,Luvissolos Cromicos Orticos,RLe18 - Neossolos Litolicos Eutroficos + Planossolos Natricos Orticos + Luvissolos Cromicos Orticos,"5006,5597524900000000000000000000000",NEOSSOLOS,LITOLICOS,Eutroficos,PLANOSSOLOS,NATRICOS,Orticos,LUVISSOLOS,CROMICOS,Orticos,RLe - Neossolos Litolicos Eutroficos,RLe,"47,82806","10,29563","14,32349","169,74469","0,21705","6,48645","2,93672","-0,01209","6,33914",,,,,,,,,,,,,,,,
"485634,0360","9366444,5150",BR-266/CE,3451,00 - 70,"6,30","1,72000","4,00","0,00","0,00","0,00","100,00","88,00","59,00","45,00","37,00","24,00","5,00",A - 1 - a,"50,61010","574,00000","205,00000","1,43000","252,00000",RLe18,Neossolos Litolicos Eutroficos,Planossolos Natricos Orticos,Luvissolos Cromicos Orticos,RLe18 - Neossolos Litolicos Eutroficos + Planossolos Natricos Orticos + Luvissolos Cromicos Orticos,"5006,5597524900000000000000000000000",NEOSSOLOS,LITOLICOS,Eutroficos,PLANOSSOLOS,NATRICOS,Orticos,LUVISSOLOS,CROMICOS,Orticos,RLe - Neossolos Litolicos Eutroficos,RLe,"47,90021","7,00000","12,99866","172,23419","0,21438","6,52854","2,69417","0,01710","6,41248",,,,,,,,,,,,,,,,
"485376,2040","9366723,6120",BR-266/CE,3470,00 - 70,"6,30","1,72000","4,00","0,00","0,00","0,00","100,00","88,00","59,00","45,00","37,00","24,00","5,00",A - 4,"50,61010","546,00000","200,00000","1,43000","272,00000",RLe18,Neossolos Litolicos Eutroficos,Planossolos Natricos Orticos,Luvissolos Cromicos Orticos,RLe18 - Neossolos Litolicos Eutroficos + Planossolos Natricos Orticos + Luvissolos Cromicos Orticos,"5006,5597524900000000000000000000000",NEOSSOLOS,LITOLICOS,Eutroficos,PLANOSSOLOS,NATRICOS,Orticos,LUVISSOLOS,CROMICOS,Orticos,RLe - Neossolos Litolicos Eutroficos,RLe,"48,25123","7,00000","13,12273","172,17670","0,21704","6,51169","2,65193","-0,01588","6,30526",,,,,,,,,,,,,,,,
"485241,1350","9366871,1110",BR-266/CE,3480,00 - 70,"6,30","1,72000","4,00","0,00","0,00","0,00","100,00","88,00","59,00","45,00","37,00","24,00","5,00",A - 2 - 4,"50,61010","613,00000","203,00000","1,42000","280,00000",RLe18,Neossolos Litolicos Eutroficos,Planossolos Natricos Orticos,Luvissolos Cromicos Orticos,RLe18 - Neossolos Litolicos Eutroficos + Planossolos Natricos Orticos + Luvissolos Cromicos Orticos,"5006,5597524900000000000000000000000",NEOSSOLOS,LITOLICOS,Eutroficos,PLANOSSOLOS,NATRICOS,Orticos,LUVISSOLOS,CROMICOS,Orticos,RLe - Neossolos Litolicos Eutroficos,RLe,"48,59130","3,87298","17,35865","174,49847","0,22096","6,52271","2,82532","0,00293","6,38152",,,,,,,,,,,,,,,,
"484807,3730","9367341,6860",BR-266/CE,3512,00 - 70,"6,30","1,72000","4,00","0,00","0,00","0,00","100,00","88,00","60,00","46,00","38,00","24,00","6,00",A - 4,"24,87380","554,00000","212,00000","1,41000","268,00000",RLe18,Neossolos Litolicos Eutroficos,Planossolos Natricos Orticos,Luvissolos Cromicos Orticos,RLe18 - Neossolos Litolicos Eutroficos + Planossolos Natricos Orticos + Luvissolos Cromicos Orticos,"5006,5597524900000000000000000000000",NEOSSOLOS,LITOLICOS,Eutroficos,PLANOSSOLOS,NATRICOS,Orticos,LUVISSOLOS,CROMICOS,Orticos,RLe - Neossolos Litolicos Eutroficos,RLe,"49,71186","10,34408","12,55265","160,19952","0,19043","6,49704","2,98925","0,00465","6,41400",,,,,,,,,,,,,,,,
"484672,5840","9367489,4340",BR-266/CE,3522,00 - 70,"6,30","1,72000","4,00","0,00","0,00","0,00","100,00","88,00","60,00","46,00","38,00","24,00","6,00",A - 2 - 4,"24,87380","552,00000","208,00000","1,42000","253,00000",RLe18,Neossolos Litolicos Eutroficos,Planossolos Natricos Orticos,Luvissolos Cromicos Orticos,RLe18 - Neossolos Litolicos Eutroficos + Planossolos Natricos Orticos + Luvissolos Cromicos Orticos,"5006,5597524900000000000000000000000",NEOSSOLOS,LITOLICOS,Eutroficos,PLANOSSOLOS,NATRICOS,Orticos,LUVISSOLOS,CROMICOS,Orticos,RLe - Neossolos Litolicos Eutroficos,RLe,"49,44699","11,13553","12,32697","157,99249","0,21893","6,42900","2,98753","-0,05620","6,21096",,,,,,,,,,,,,,,,
"483339,1340","9368935,3510",BR-266/CE,3622,00 - 70,"6,30","1,72000","4,00","0,00","0,00","0,00","100,00","88,00","60,00","47,00","38,00","24,00","6,00",A - 2 - 4,"23,87960","546,00000","204,00000","1,45000","260,00000",RLe18,Neossolos Litolicos Eutroficos,Planossolos Natricos Orticos,Luvissolos Cromicos Orticos,RLe18 - Neossolos Litolicos Eutroficos + Planossolos Natricos Orticos + Luvissolos Cromicos Orticos,"5006,5597524900000000000000000000000",NEOSSOLOS,LITOLICOS,Eutroficos,PLANOSSOLOS,NATRICOS,Orticos,LUVISSOLOS,CROMICOS,Orticos,RLe - Neossolos Litolicos Eutroficos,RLe,"43,48631","8,30662","12,75253","168,76807","0,27176","6,45639","1,98531","-0,02296","6,28877",,,,,,,,,,,,,,,,
"482555,1500","9369715,3410",BR-266/CE,3678,00 - 70,"6,30","1,72100","4,00","0,00","0,00","0,00","100,00","88,00","61,00","47,00","38,00","25,00","6,00",A - 4,"47,23870","527,00000","214,00000","1,43000","272,00000",TCo8,Luvissolos Cromicos Orticos,Neossolos Litolicos Eutroficos,Argissolos Vermelho-Amarelos Eutroficos,TCo8 - Luvissolos Cromicos Orticos + Neossolos Litolicos Eutroficos + Argissolos Vermelho-Amarelos Eutroficos,"394,9018399410000000000000000000000",LUVISSOLOS,CROMICOS,Orticos,NEOSSOLOS,LITOLICOS,Eutroficos,ARGISSOLOS,VERMELHO-AMARELOS,Eutroficos,TCo - Luvissolos Cromicos Orticos,TCo,"44,05432","11,13553","12,63710","169,18536","0,20525","6,22528","0,17771","-0,02745","6,31695",,,,,,,,,,,,,,,,
"490182,8130","9365757,5450",BR-266/CE,3195,00 - 60,"6,30","1,71700","4,00","0,00","0,00","0,00","100,00","87,00","57,00","43,00","34,00","21,00","5,00",A - 1 - b,"80,52240","531,00000","216,00000","1,42000","263,00000",SXe16,Planossolos Haplicos Eutroficos,Planossolos Natricos Orticos,Neossolos Litolicos Eutroficos,SXe16 - Planossolos Haplicos Eutroficos + Planossolos Natricos Orticos + Neossolos Litolicos Eutroficos,"1136,5067444100000000000000000000000",PLANOSSOLOS,HAPLICOS,Eutroficos,PLANOSSOLOS,NATRICOS,Orticos,NEOSSOLOS,LITOLICOS,Eutroficos,SXe - Planossolos Haplicos Eutroficos,SXe,"47,25562","12,49000","13,61882","188,88934","0,30398","6,41275","0,16508","0,03952","6,42961",,,,,,,,,,,,,,,,
"486348,2940","9365947,8640",BR-266/CE,3407,00 - 60,"6,30","1,72000","4,00","0,00","0,00","0,00","100,00","88,00","59,00","45,00","37,00","23,00","5,00",A - 1 - b,"50,78630","570,00000","201,00000","1,42000","257,00000",RLe18,Neossolos Litolicos Eutroficos,Planossolos Natricos Orticos,Luvissolos Cromicos Orticos,RLe18 - Neossolos Litolicos Eutroficos + Planossolos Natricos Orticos + Luvissolos Cromicos Orticos,"5006,5597524900000000000000000000000",NEOSSOLOS,LITOLICOS,Eutroficos,PLANOSSOLOS,NATRICOS,Orticos,LUVISSOLOS,CROMICOS,Orticos,RLe - Neossolos Litolicos Eutroficos,RLe,"47,06170","10,14889","13,10190","170,66284","0,22612","6,53271","2,90616","0,02711","6,44273",,,,,,,,,,,,,,,,
